ID,Material_Description
1,"INSULATION GASKET KIT - 2"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
2,"ASSEMBLY COMPRESSOR - 10"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
3,"SPUR GEAR PINION SHAFT - 10"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
4,"SUCTION HEADER - 6"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
5,"MOVABLE STOOL - 6"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ISO 9001"
6,"BARREL NIPPLE - 6"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ASTM A312"
7,"AIR COOLED INTERCOOLER - 3"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
8,"AIR COOLED INTERCOOLER - 6"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2037, ASTM A312"
9,"FIXED PORTABLE STOOL - 10"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
10,"HOUSING BOTTOM - 10"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASME B16.21"
11,"ASSEMBLY COMPRESSOR - 4"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
12,"HOUSING BOTTOM - 3"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASTM A312"
13,"SPUR GEAR PINION SHAFT - 4"" - 600# - SS-316, DRAWING NO. PRJ-R5463-124, ISO 9001"
14,"AIR COOLED INTERCOOLER - 6"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
15,"MOVABLE STOOL - 3"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASTM A312"
16,"AIR COOLED INTERCOOLER - 2"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ISO 9001"
17,"SPUR GEAR PINION SHAFT - 10"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
18,"BARREL NIPPLE - 12"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2037, ISO 9001"
19,"SUCTION HEADER - 4"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASTM A312"
20,"SPUR GEAR PINION SHAFT - 10"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
21,"SUCTION HEADER - 12"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
